L,AMJ,MJJ,JJA,JAS,ASO,SON,OND
OBS,0.25675,0.281245,0.401165,0.576438,0.797956,1.057599,1.304206
1.5,0.1295309043516015,0.1859184260742909,0.3417490170955631,0.5300595896317313,0.6746977653719138,0.8271306639934868,0.990046893138567
2.5,0.1467508780378085,0.1645918326597542,0.3531943546299236,0.5199828891397702,0.7185593515043828,0.9093743947079724,1.0185779161440005
3.5,0.1535461053078161,0.210447883302184,0.3210779091311416,0.5277009075058003,0.6862198883096402,0.9025816249528816,1.1349358840065815
4.5,0.2172531012924444,0.2267760128486509,0.3687219836531417,0.4531120864125209,0.6639498893105903,0.8891333874425595,1.1343897916002763
5.5,0.2728278684701534,0.2515631402459158,0.37614820384836,0.4620811945900693,0.5468243324073713,0.8535080686896477,1.1429144096417394
6.5,0.3614680953460303,0.2939503755409198,0.3311419304813174,0.4750602701847816,0.5204260590857318,0.7143836802128815,1.1054406598426971
7.5,0.3645014459463144,0.3463430680331646,0.3624253054466895,0.4051309244185055,0.5509498637023528,0.6467496115909654,0.9435228415351876
8.5,0.3719558156321916,0.3732111282717621,0.3836789467740611,0.4183778113708818,0.4961974534971188,0.6951105577074332,0.8407519347709579
9.5,0.4141011935268047,0.3620952190790115,0.4196075440950653,0.4346313436388428,0.4815601141144363,0.6503760333252483,0.9092236442394326
10.5,0.4543487137350733,0.3802709281773572,0.3953471623846052,0.4761217337705818,0.5155026819624908,0.5942597456599924,0.8493879672702297
