L,MON,SZN,TAR,LDC_SST_CanESM5,OBS_NINO3.4_L3,BIAS,BIAS_ABS
10.5,1994-10-01,JAS,1995-08-15,26.842100000000016,26.396666666666665,0.44543333333335156,0.44543333333335156
9.5,1994-11-01,JAS,1995-08-15,27.126300000000015,26.396666666666665,0.72963333333335,0.72963333333335
8.5,1994-12-01,JAS,1995-08-15,27.013300000000015,26.396666666666665,0.6166333333333505,0.6166333333333505
7.5,1995-01-01,JAS,1995-08-15,26.53030000000001,26.396666666666665,0.13363333333334637,0.13363333333334637
6.5,1995-02-01,JAS,1995-08-15,26.671600000000012,26.396666666666665,0.27493333333334746,0.27493333333334746
5.5,1995-03-01,JAS,1995-08-15,27.020399999999995,26.396666666666665,0.6237333333333304,0.6237333333333304
4.5,1995-04-01,JAS,1995-08-15,26.988500000000045,26.396666666666665,0.5918333333333798,0.5918333333333798
3.5,1995-05-01,JAS,1995-08-15,26.55450000000002,26.396666666666665,0.15783333333335392,0.15783333333335392
2.5,1995-06-01,JAS,1995-08-15,26.56880000000001,26.396666666666665,0.17213333333334546,0.17213333333334546
1.5,1995-07-01,JAS,1995-08-15,26.90130000000005,26.396666666666665,0.5046333333333841,0.5046333333333841
10.5,1997-09-01,JJA,1998-07-15,27.265800000000013,26.403333333333336,0.8624666666666769,0.8624666666666769
9.5,1997-10-01,JJA,1998-07-15,27.264700000000005,26.403333333333336,0.8613666666666688,0.8613666666666688
8.5,1997-11-01,JJA,1998-07-15,27.079800000000034,26.403333333333336,0.6764666666666983,0.6764666666666983
7.5,1997-12-01,JJA,1998-07-15,26.963099999999997,26.403333333333336,0.5597666666666612,0.5597666666666612
6.5,1998-01-01,JJA,1998-07-15,26.890300000000025,26.403333333333336,0.48696666666668875,0.48696666666668875
5.5,1998-02-01,JJA,1998-07-15,26.616100000000017,26.403333333333336,0.2127666666666812,0.2127666666666812
4.5,1998-03-01,JJA,1998-07-15,26.871500000000026,26.403333333333336,0.46816666666668993,0.46816666666668993
3.5,1998-04-01,JJA,1998-07-15,26.806200000000047,26.403333333333336,0.40286666666671067,0.40286666666671067
2.5,1998-05-01,JJA,1998-07-15,26.8433,26.403333333333336,0.4399666666666633,0.4399666666666633
1.5,1998-06-01,JJA,1998-07-15,26.48860000000002,26.403333333333336,0.08526666666668348,0.08526666666668348
10.5,2005-01-01,OND,2005-11-15,27.023900000000026,26.146666666666665,0.8772333333333613,0.8772333333333613
9.5,2005-02-01,OND,2005-11-15,27.2688,26.146666666666665,1.122133333333334,1.122133333333334
8.5,2005-03-01,OND,2005-11-15,27.162000000000035,26.146666666666665,1.0153333333333698,1.0153333333333698
7.5,2005-04-01,OND,2005-11-15,26.797200000000032,26.146666666666665,0.6505333333333674,0.6505333333333674
6.5,2005-05-01,OND,2005-11-15,26.745300000000043,26.146666666666665,0.5986333333333782,0.5986333333333782
