L,AMJ,MJJ,JJA,JAS,ASO,SON,OND
OBS,0.25675,0.281245,0.401165,0.576438,0.797956,1.057599,1.304206
1.5,0.3435615283034487,0.4119451616155172,0.5699093267600583,0.7165950431752874,0.894219449090804,1.1876289933502868,1.5251220049181016
2.5,0.4610864271649429,0.4136180149632182,0.5635362965454027,0.7013620129994249,0.8676608579977028,1.0866918482971266,1.379020957374714
3.5,0.4858715134068965,0.474797622450287,0.4885189219698269,0.6296019919807483,0.7450851030712651,0.9653977461255744,1.1976345940189672
4.5,0.5007261618844824,0.4343461688459779,0.4954178193945413,0.510621111240804,0.6501000950899435,0.8076212169583336,1.0819578279416666
5.5,0.6047884765551722,0.4093013032709768,0.4311132993252869,0.4940009605422418,0.5162845690902295,0.7058135400083347,0.8925710289247138
6.5,0.5813863529347707,0.4917592187666665,0.3745891075974132,0.4242225505198266,0.4988373786106319,0.5579658209890795,0.7831325154278744
7.5,0.5246293084847712,0.490706503991955,0.4300707888945403,0.3566361270227013,0.4280724400258621,0.5466764893824716,0.6203376559270116
8.5,0.4766993828910916,0.4438538066204021,0.4391852182882184,0.3926572175198283,0.3555672352353445,0.4730741262399421,0.6130201397706877
9.5,0.4991599708425284,0.4218350044787353,0.403009504579024,0.3966644444695414,0.3791254941749999,0.3955327576083331,0.5327346282201135
10.5,0.5448117593704032,0.4322983649068962,0.3932545514873558,0.379251459748851,0.3715221277227007,0.4039971695997124,0.4572714483109199
